============================================================
QUERIES SEARCHED LOG  |  2025-07-21 19:10:39
============================================================
Total Queries: 678

No.   Query                                                        Mode  
--------------------------------------------------------------------------------
256   Minnesota pipe burst                                         live  
257   Mississippi house fire                                       top   
258   Mississippi house fire                                       live  
259   Mississippi apartment complex                                top   
260   Mississippi apartment complex                                live  
261   Mississippi store fire                                       top   
262   Mississippi store fire                                       live  
263   Mississippi commercial fire                                  top   
264   Mississippi commercial fire                                  live  
265   Mississippi restaurant fire                                  top   
266   Mississippi restaurant fire                                  live  
267   Mississippi warehouse fire                                   top   
268   Mississippi warehouse fire                                   live  
269   Mississippi business fire                                    top   
270   Mississippi business fire                                    live  
271   Mississippi pipe burst                                       top   
272   Mississippi pipe burst                                       live  
273   Montana house fire                                           top   
274   Montana house fire                                           live  
275   Montana apartment complex                                    top   
276   Montana apartment complex                                    live  
277   Montana store fire                                           top   
278   Montana store fire                                           live  
279   Montana commercial fire                                      top   
280   Montana commercial fire                                      live  
281   Montana restaurant fire                                      top   
282   Montana restaurant fire                                      live  
283   Montana warehouse fire                                       top   
284   Montana warehouse fire                                       live  
285   Montana business fire                                        top   
286   Montana business fire                                        live  
287   Montana pipe burst                                           top   
288   Montana pipe burst                                           live  
289   Nebraska house fire                                          top   
290   Nebraska house fire                                          live  
291   Nebraska apartment complex                                   top   
292   Nebraska apartment complex                                   live  
293   Nebraska store fire                                          top   
294   Nebraska store fire                                          live  
295   Nebraska commercial fire                                     top   
296   Nebraska commercial fire                                     live  
297   Nebraska restaurant fire                                     top   
298   Nebraska restaurant fire                                     live  
299   Nebraska warehouse fire                                      top   
300   Nebraska warehouse fire                                      live  
301   Nebraska business fire                                       top   
302   Nebraska business fire                                       live  
303   Nebraska pipe burst                                          top   
304   Nebraska pipe burst                                          live  
305   Nevada house fire                                            top   
306   Nevada house fire                                            live  
307   Nevada apartment complex                                     top   
308   Nevada apartment complex                                     live  
309   Nevada store fire                                            top   
310   Nevada store fire                                            live  
311   Nevada commercial fire                                       top   
312   Nevada commercial fire                                       live  
313   Nevada restaurant fire                                       top   
314   Nevada restaurant fire                                       live  
315   Nevada warehouse fire                                        top   
316   Nevada warehouse fire                                        live  
317   Nevada business fire                                         top   
318   Nevada business fire                                         live  
319   Nevada pipe burst                                            top   
320   Nevada pipe burst                                            live  
321   New Hampshire house fire                                     top   
322   New Hampshire house fire                                     live  
323   New Hampshire apartment complex                              top   
324   New Hampshire apartment complex                              live  
325   New Hampshire store fire                                     top   
326   New Hampshire store fire                                     live  
327   New Hampshire commercial fire                                top   
328   New Hampshire commercial fire                                live  
329   New Hampshire restaurant fire                                top   
330   New Hampshire restaurant fire                                live  
331   New Hampshire warehouse fire                                 top   
332   New Hampshire warehouse fire                                 live  
333   New Hampshire business fire                                  top   
334   New Hampshire business fire                                  live  
335   New Hampshire pipe burst                                     top   
336   New Hampshire pipe burst                                     live  
337   New Jersey house fire                                        top   
338   New Jersey house fire                                        live  
339   New Jersey apartment complex                                 top   
340   New Jersey apartment complex                                 live  
341   New Jersey store fire                                        top   
342   New Jersey store fire                                        live  
343   New Jersey commercial fire                                   top   
344   New Jersey commercial fire                                   live  
345   New Jersey restaurant fire                                   top   
346   New Jersey restaurant fire                                   live  
347   New Jersey warehouse fire                                    top   
348   New Jersey warehouse fire                                    live  
349   New Jersey business fire                                     top   
350   New Jersey business fire                                     live  
351   New Jersey pipe burst                                        top   
352   New Jersey pipe burst                                        live  
353   New Mexico house fire                                        top   
354   New Mexico house fire                                        live  
355   New Mexico apartment complex                                 top   
356   New Mexico apartment complex                                 live  
357   New Mexico store fire                                        top   
358   New Mexico store fire                                        live  
359   New Mexico commercial fire                                   top   
360   New Mexico commercial fire                                   live  
361   New Mexico restaurant fire                                   top   
362   New Mexico restaurant fire                                   live  
363   New Mexico warehouse fire                                    top   
364   New Mexico warehouse fire                                    live  
365   New Mexico business fire                                     top   
